file,class,method,constructor,line,cbo,wmc,rfc,loc,returns,variables,parameters,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocks,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Field.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Field,getFarmerName/0,false,113,0,2,2,4,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Field.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Field,getSupervisorNames/0,false,127,0,2,5,4,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Field.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Field,createSupervisorContainer/0,false,84,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Field.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Field,getMacroRegion/0,false,134,1,2,7,5,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,6,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Field.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Field,getFarmerId/0,false,120,0,2,2,4,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,7,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Field.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Field,setName/1[java.lang.String],false,88,0,1,2,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Field.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Field,getCityId/0,false,99,0,2,2,4,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,7,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Field.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Field,getRegion/0,false,145,1,2,8,5,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,5,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Field.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Field,"create/6[java.lang.Long,java.lang.String,java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.base.City,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Farmer,java.util.Set<br.edu.utfpr.cp.emater.midmipsystem.entity.base.Supervisor>]",false,53,5,1,6,10,1,1,6,0,0,0,0,0,0,1,0,0,0,0,0,10,9,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\MacroRegion.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.MacroRegion,setName/1[java.lang.String],false,31,0,1,2,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\MacroRegion.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.MacroRegion,"create/2[java.lang.Long,java.lang.String]",false,36,2,1,2,6,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,7,9,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Person.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Person,setName/1[java.lang.String],false,31,0,1,2,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Region.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Region,createCityContainer/0,false,79,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Region.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Region,getMacroRegionId/0,false,90,0,2,2,4,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,1,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Region.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Region,"create/4[java.lang.Long,java.lang.String,br.edu.utfpr.cp.emater.midmipsystem.entity.base.MacroRegion,java.util.Set<br.edu.utfpr.cp.emater.midmipsystem.entity.base.City>]",false,46,4,1,4,8,1,1,4,0,0,0,0,0,0,1,0,0,0,0,0,8,9,0
D:\Projetos\mip-serverless-tcc\front-end\mip\src\main\java\br\edu\utfpr\cp\emater\midmipsystem\entity\base\Region.java,br.edu.utfpr.cp.emater.midmipsystem.entity.base.Region,getCityNames/0,false,97,0,2,5,4,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,0
